names(df)
FNAME
MNAME
LNAME
FILLER
SUFFIX
ADR1
CITY
ST
ZIP
P4
APTF
CRRT
FPST
N2CTY
N2DMA
CBSA
N2NCY
LAT
LNG
N2BTN
N2TSC
N2TBG
N2BC
C210MYS
C210MAH
C210PWH
C210PHI
C210PBL
C210HMI
C210CIP
C210POO
C210HVA
C210PSU
C210MOB
C210BLU
C210WHT
C210PMR
C210PWC
C210AUTO
C210EBI
C210PDV
C210PMV
C210APVT
C210BPVT
C210M200
C210B200
C210KSES
C210PDSC
C210PDUC
N2ALV
OPA
VFLAG
PRDM
HHID
NONO2
KLNK
AGE_RANGE
ESTAGE
GEND
FILLER.1
FAMP
POEP
ILOR
HOMSTAT
APT
ESTINC30
NETW30
ZINCDEC
ESTDII30
MR
MOBPLUS
MARRIED
NAH19
NPH19
TINS
NOC19
CA00
CA03
CA06
CA11
CA16
POC19
TUOC
TUOCS
SOHOIN
SOHOHH
ONLA
TELE
CPPD
DPVS
PUBH
SSON
VAC
EDUC
Z4HMVALU
CHNDISPL
CHNEMAIL
CALAGE
DOBMM
DOBDD
DOBCCYY
CNBC
BC
RC
PRESCA
SRET
LOWD
MSR
HIR
TRVL
SPEC
SPEA
FINB
FINI
FINC
CSR
CE
FURN
HOMO
HOMI
MEMW
SPGD
TVMA
GROC
OILC
MISC
CACD
TRAD
CDB1
CGN1
CDB2
CGN2
CDB3
CGN3
CDB4
CGN4
CO
EMDM
PART
VOTE
CD
HTFH
BOAT
DNRINDX
DIANIMAL
DIARTS
DICHLD
DICNSRV
DIENV
DIHLTH
DIHUMN
DILIB
DIREL
DIVET
VETERAN
COLLEGE
AIRCRAFT
PILOTS
ATV
SNOW
CCW
HMVLADD
LNVLRTIO
ESTDIS30
ESTDEB30
ESTINV30
HHCOMP
N65P
N6064
N5059
N4049
N3039
N2029
N1819
U18
STLAPP
STLINDEX
BDOC
BANK
BNKI
PRESSURV
IOR
IHH
IIND
QHH
QIND
ICAT
IDOG
IOCD
IOCE
IOMO
IORV
IOSW
IHORSE
IODIGITL
IOSMART
IOATV
IC
ICCO
ICDO
ICFI
ICOT
ICPL
ICSP
ICST
ICFA
IPAE
IPDI
IPOT
IPSR
IPVM
IRAE
IRDI
IROT
IRSR
IRVM
IRDEBIT
IDC
IDWGHT
IDNAT
IDVIT
IDLOW
IGC
PRESHI
IHBA
IHBI
IHCR
IHCI
IHCG
IHCO
IHCF
IHCA
IHGA
IHGF
IHGO
IHGV
IHHI
IHHS
IHKN
IHLO
IHQU
IHSE
IHSW
IHTH
IHWO
IHWI
IHPH
IHEX
IHSCRAP
IHCLF
IHCAC
IHBEAD
IHDIY
IHGREEN
IHNETWRK
IHSPTWEL
IOLP
IMBO
IMBM
IMCH
IMCL
IMCO
IMFO
IMGI
IMHO
IMMA
IMOT
IMJE
IMPS
IMDV
INVE
INOT
INLI
INMU
INSB
INRE
INMEDI
IN401K
INCD
INIRA
INTSTMED
INNOMEDI
PRESMI
IMGO
IMCS
IMCU
IMJA
IMOR
IMRH
IMRO
IMSO
IMBBND
IMALT
IVET
IHIGHSCL
IOHO
IOMA
IOSA
IOTR
IOPT
IORE
IOSE
IOOW
IOST
IOMG
IODOCTOR
IOFULL
IONURSE
IOPART
IOTEACHR
IREA
IRAS
IRBI
IRBF
IRBT
IRCH
IRCK
IRCO
IRCL
IRFA
IRHI
IRIN
IRME
IRMI
IRMY
IRNA
IRPE
IRRO
IRSF
IRST
IRSP
IRWO
IRTHRLL
IRBEST
IRBKCLUB
IRCOMICS
IRFINAN
IRHMGRDN
IRSELF
IRTRLENT
IRMAGAZN
IDAN
IDAC
IDCH
IDEN
IDHE
IDOT
IDPC
IDPL
IDRE
IDVE
ISHUM
ISOT
ISCA
ISBB
ISBO
ISBK
ISFS
ISFO
ISFI
ISGO
ISHO
ISHU
ISNA
ISSN
ISWA
ISRU
ISSC
ISTE
ISWL
ISBY
ISEXTREM
ISMTRCRS
ISSKATE
ISSNWBRD
ISROLLER
ISPO
PRESTI
ITBU
ITBI
ITPU
ITPI
ITCV
ITFV
ITFF
ITTIME
IVCR
IVPARKS
ITRV
PRESRI
IOAPPLE
IOCABLE
IOHISPED
IODVR
IOGPS
IODVDPLR
IOHDTV
IOHMTHR
IOSATRAD
IOSATELL
IOVIDGAM
IOELEOT
IPDECOR
IPBEAUTY
IPCLUB
IPFFOOD
IPSPCBTY
IPCOUPON
ISDT
ISDATEON
SGDI
SGFA
SGHL
SGLL
SGOE
SGPA
SGSE
SGTC
SGUP
BLSTORDR
BLONORDR
BLOFORDR
BTOTLORD
BTOTLDOL
BONORDER
BONDOLLR
BOFORDER
BOFDOLLR
BAVGDOLL
BAVGONDL
BAVGOFDL
INSHOP
CONSHOP
OAGEN
OABIGTLL
OACHILD
OATEEN
OAMEN
OAPETITE
OAPLUS
OAWOMEN
OANOGEN
OARTS
OCOLLECT
ONOVEL
OAUTO
OBOOKS
OCHILDPR
OCOMPHMO
OCRAFTS
OFOOD
OGEN
OGIFT
OSPECFD
OHOLIDAY
OSPECGFT
OSTATION
OBEAUTY
OHEALTH
OPERCARE
OELECTNC
OHMFURN
OFURNITR
OHSWARE
OLINENS
OHMCARE
OGARDEN
OJEWELRY
OMUSIC
OOTHER
OPETS
OPHOTO
OSPORTS
OTRAVEL
OVIDDVD
BPAMEX
BPCREDIT
BPDISCVR
BPHOUSE
BPMASTER
BPRETAIL
BPVISA
BUYER
RORDERDT
RORDERS
RDOLLARS
RAGEN
RABIGTLL
RACHILD
RATEEN
RAMEN
RAPETITE
RAPLUS
RAWOMEN
RANOGEN
RARTS
RAUTO
RBEAUTY
RBOOKS
RCHILDPR
RCOLLECT
RCOMPHMO
RCRAFTS
RELECTNC
RFOOD
RFURNITR
RGARDEN
RGEN
RGIFT
RHEALTH
RHOLIDAY
RHMCARE
RHMFURN
RHSWARE
RJEWELRY
RLINENS
RMUSIC
RNOVEL
ROTHER
RPERCARE
RPETS
RPHOTO
RSPECFD
RSPECGFT
RSPORTS
RSTATION
RTRAVEL
RVIDDVD
RETAIL
SPENDPAT
SHAPPL
SHSEC
STLNINDX
TSCONS
TSCOST
TSDBOOK
TSLOYAL
TSLUX
TSAFFN
INVEXPL
INVRISKT
INVRETIR
INVEQ
INVCASH
INVINSUR
INVRECOM
INVPROF
INVSELFD
SAVERSST
SAVERSLT
GENERS20
MEDA
PDPE
FILLER.2
MEDSUP
LTCINDX
HINSUB
HLTHUNIN
IRIHLTH
IRILIFE
IRISNR
IRIAUTO
ENGAGE
INFLUENC
CHANPR1
CHANPR2
CHANPRC
CHANPRE
CHANPRM
CHANPRP
CHANPRT
CHANPRW
UNININDX
DUALELIG
HIDIRPAY
SSPIDENT
SSPIVISN
SSPIDISA
INSJUVE
INSFINEX
INSPAFUN
INSTERM
INSTERMA
INSWHOLE
INSWHOLA
CHAPAHIP
CHAPAHIQ
CHAPLIP
CHAPLIQ
ALTRUIST
ANNUITRI
HXMBOH
HXMH
HXMIOC
HXWEARBL
HIPAYTOL
HCACCPRF
MEDSUPBI
HBMULTI
HBSUST
HIEMPINS
LTMEDICR
EIPHARMS
CAREGIVE
MOTORCYL
FTOTVLCL
FLNDVALC
FSALDATE
FSALPRIC
FMORT1
FMORTTYP
FMORTTRM
FMORT2
FLIVSQFT
FYEARBLT
FEFFYRBL
FPOOL
FROOFCVR
LNDSQFT
INVESTOR
REL
COFO
ETHGRPCD
ETHEID
ETHLANG
FILLER.3
RXADHM
RXADHS
RXBRAND
RXMAINT
RXNCDRUG
RXNUM
RXPURCHA
RXSOWRX
RXSUPP
MEDIAIDD
MEDIAIOD
MEDIAIP
MEDIAISM
AGBLOOD
AGNOSE
AGJOINT
AGRESP
AGMOUTH
AGSKIN
AGDIAB
AGDIG
AGAST
AGPAIN
AGFOOT
AGVSN
AGPROG
AGWEIGHT
AGHEART
AGFEM
AGPSYCO
HWFOSL
HWFOSS
HWRXLOYL
HWHEALTHSCORE
HWPHYSICALHEALTH
HWHEALTHWISE
HWARTHRITIS
HWALLERGY
HWASTHMA
HWCATARACT
HWGASTRO
HWCHOLESTEROL
HWHEARTDISEASE
HWHEARTATTACK
HWSTROKE
HWRESPIRATORYCONDITION
HWDIABETES
HWPREDIABETES
HWKIDNEY
HWCANCER
HWCANCERLUNG
HWSKINCANCER
HWPAIN
HWGLAUCOMA
HWDEPRESSION
HWANXIETY
HWDECISIONS
HWPREGNANT
HWDENTAL
HWFLUSHOT
HWPNEUMONIAVAC
HWTETANUS
HWDOCVISITS10
HWCHECKUPNO
HWMAMMOGRAM
HWBREASTEXAM
HWPAPTEST
HWCOLONOSCOPY
HWPSATEST2
HWBLOODSTOOLKIT
FILLER.4
